,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Employed,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTrans,WorkatHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Poverty,ChildPoverty,Unemployment
1896,North Carolina,Beaufort County,47316,22596,24720,3596.0159999999996,31133.928,12112.896,0.0,47.316,0.0,36399,41101,2273,24657,1061,19051,6001.065,3314.874,3962.6079999999997,2686.191,3067.2110000000002,16612.471999999998,1066.856,38.102000000000004,342.918,171.459,819.193,25.1,14535.913,3124.3639999999996,1371.672,19.051000000000002,9037.356000000002,11450.472,4258.44
1897,North Carolina,Bertie County,19913,10057,9856,418.173,6830.158999999999,12266.408000000001,119.478,119.478,0.0,16080,31287,1747,18319,1036,7307,1731.759,1169.12,1359.102,927.9889999999999,2119.03,5896.749,847.612,51.148999999999994,146.14,138.833,226.517,24.8,5407.18,1497.935,387.27099999999996,14.614,4380.86,6989.463000000001,2528.9509999999996
1898,North Carolina,Bladen County,34130,16241,17889,2559.75,18498.46,11740.72,784.99,0.0,0.0,25634,32396,2931,20839,1436,13263,3342.276,2718.915,2519.97,2201.6580000000004,2493.4440000000004,11366.391000000001,1313.037,26.526000000000003,106.10400000000001,79.57799999999999,371.3639999999999,24.7,9880.935,2559.759,795.78,26.526000000000003,8361.85,11911.37,2696.27
1899,North Carolina,Brunswick County,122586,59412,63174,5761.542,100030.17599999999,12871.53,367.758,735.516,122.586,99492,51164,1371,29707,687,48982,14204.78,10531.13,12392.446000000002,6563.588000000001,5290.056,38793.744,5437.0019999999995,195.928,636.766,636.766,3281.7940000000003,24.2,38156.978,6563.588000000001,4163.47,97.964,17284.626,29052.881999999998,9561.707999999999
1900,North Carolina,Buncombe County,252268,121002,131266,16145.152000000002,211148.31600000002,15388.347999999998,1009.0720000000001,3027.216,252.26800000000003,195828,48464,1288,29590,671,123090,48743.64,23264.01,28064.52,10708.83,12432.09,97856.55,10093.38,738.54,2584.89,1230.9,10462.65,20.1,98102.73,14524.62,10216.470000000001,246.18,33299.376,45155.971999999994,11856.596000000001
1901,North Carolina,Burke County,88898,43908,44990,5244.982000000001,73163.05399999999,5244.982000000001,444.49,3200.328,88.89800000000001,69273,40854,1572,21885,706,37149,10513.167,7987.035,7095.459,3343.41,8209.929,31799.543999999998,3492.0060000000003,74.298,408.639,334.341,1077.321,21.5,28010.346,6649.670999999999,2451.834,74.298,17157.314000000002,26047.113999999998,8267.514000000001
1902,North Carolina,Cabarrus County,196716,95708,101008,19671.6,133766.88,32851.572,590.1479999999999,5901.48,196.716,136198,60716,1429,29143,508,95894,35864.356,16206.086,23589.924,9301.717999999999,10836.021999999999,79879.702,9493.506,671.258,671.258,767.1519999999999,4507.018,27.8,78249.504,13233.372,4315.23,191.78799999999998,22622.34,31277.843999999997,13376.688
1903,North Carolina,Caldwell County,81805,40361,41444,4172.055,71906.595,4008.445,327.22,490.83,0.0,63220,40735,1356,21991,977,35011,8577.695,5951.87,7947.496999999999,4061.276,8472.662,29199.174000000003,3606.1330000000003,35.011,245.07699999999997,665.209,1295.4070000000002,23.4,28288.888,4621.451999999999,2100.66,0.0,13416.02,17015.44,6462.595
1904,North Carolina,Camden County,10336,5103,5233,279.072,8310.144,1478.0480000000002,10.336000000000002,196.384,0.0,7743,68327,5352,27468,1870,4528,1693.4719999999998,973.52,878.432,534.304,443.744,4161.232,190.17600000000002,0.0,54.33599999999999,76.976,40.752,33.7,2983.952,1326.704,208.28799999999998,9.056000000000001,930.24,1591.744,919.9040000000001
1905,North Carolina,Carteret County,68699,33760,34939,2885.3579999999997,59355.93600000001,3915.843,137.39800000000002,755.6890000000001,0.0,54854,51584,1561,30903,875,30098,10564.398000000001,6109.894,6832.246,3882.6420000000003,2708.82,23927.91,3340.8779999999997,120.39200000000001,451.47,722.352,1504.9,23.2,20436.542,6711.854,2919.506,30.098000000000003,8587.375,12365.82,5495.92
